Name_of_the_video;ind;species;medium;MG;TMG;MGA;DG;MSGO;MAGO;MSGC;MAGC;Mhd1;TMhd1;Dhd1;MSDhd1;MADhd1;MSEhd1;MAEhd1;Mhd2;TMhd2;Dhd2;MSDhd2;MADhd2;MSEhd2;MAEhd2;MHA;TMHA;PCD;tweezer
A_mavortium_ind3_pince_seq5_criquet_cropped;A_m_ind3;A_mavortium;terrestrial;1.99598;0.128; 76.64198;0.215;50.14054;3686.364;-43.70191;1722.287;0.2127061;0.251;1.491; 8.354939;457.5822;-1.550971;77.16786; 0.3613794;0.152;1.502;11.10633;750.0756;-3.746687;174.6284;132.8219;0.124;1.57;yes
A_mavortium_ind3_pince_seq6_criquet_cropped;A_m_ind3;A_mavortium;terrestrial;1.771766;0.097;76.35823;0.167;48.39509;21120.72; -45.88673;2249.433; 0.4540157;0.23;1.106;10.24953;674.7708;-3.286053;136.3984;0.6821274;0.129;1.529;17.61666; 1344.743;-3.524911; 185.0846;135.4759;0.098;1.607;yes
A_mavortium_ind3_pince_seq7b_criquet_cropped;A_m_ind3;A_mavortium;terrestrial;1.793211;0.11; 69.27973;0.225; 41.5791; 2251.815;-28.92839;688.0221;0.4331325;0.236; 1.683; 13.52149; 627.8641; -0.9189581;33.61401;0.3854033;0.15;1.813;17.24328; 726.7821;-2.651737;163.2365;137.6521;0.099;1.9;yes
A_mavortium_ind3_pince_seq9_criquet_cropped;A_m_ind3;A_mavortium;terrestrial;1.711266;0.107;67.13271; 0.218;57.33371;5260.841;-31.17227;779.7407; 0.4164832;0.141; 0.978; 20.94751;859.2202; -2.92526;530.83; 0.5336258;0.13;0.963;23.84141;1547.192;-4.142167;297.7648;138.2552;0.091;1.044;yes
A_mavortium_ind3_sans_pince_seq1_criquet_cropped;A_m_ind3;A_mavortium;terrestrial; 1.856531;0.119;72.81154; 0.229; 47.23815;2529.385; -28.97747;1444.271;0.3360503; 0.144;1.338;9.234726;525.2983;-7.47256;589.1415;0.422458;0.149;1.333;15.06216; 861.1622;-8.282051;400.5481;142.6079;0.102; 1.417;no
A_mavortium_ind3_sans_pince_seq2_criquet_cropped;A_m_ind3;A_mavortium;terrestrial;1.888653;0.141; 80.01887;0.255;48.84719;3528.645;-36.86544;1446.028;0.207881;0.162; 1.029;13.61194;1330.024;-12.18658;585.2142;0.3491329;0.165;1.043;14.80408;788.9675;-14.34108;501.0958;145.1306; 0.13;1.157;no
A_mavortium_ind3_sans_pince_seq3_criquet_cropped;A_m_ind3;A_mavortium;terrestrial;1.694438;0.141; 77.64036;0.267;44.79449;2867.16;-28.43833;702.8444;0.477636;0.165;0.747;12.43809;723.4847;-2.599079;142.3634;0.5085111;0.154;1.346;16.45787;1530.403;-3.560181;132.9466;134.1982; 0.123;1.456;no
A_mavortium_ind3_sans_pince_seq6_criquet_cropped;A_m_ind3;A_mavortium;terrestrial; 1.3763;0.129; 63.31564;0.301;44.4741;3444.452;-18.66343;355.0657; 0.3609354;0.307;1.146;15.40149;603.3807;-0.9741132;48.54309;0.2416156;0.18;1.129;9.611261;573.783;-3.262854;397.4381;135.4885;0.102;1.257;no
A_mavortium_ind3_sans_pince_seq9_criquet_cropped;A_m_ind3;A_mavortium;terrestrial; 1.567715; 0.114;68.50515;0.222;45.51745;3366.216; -33.51127; 1426.773;0.5700732;0.14;1.021;17.71275;1217.045;-13.5249;609.0142;0.5622929;0.138;1.198;20.26152;1400.878;-9.597405;469.0131;134.4228; 0.098;1.29;no
A_tigrinum_ind1_pince_seq2_criquet_cropped;A_t_ind1;A_tigrinum;terrestrial;2.174295;0.119;85.58417;0.216;47.39494;3164.595;-61.76267; 2700.742; 0.8317274;0.404;1.599; 7.196879;520.6524;-1.776285;74.28442;0.3616052;0.34;1.601;9.148901;630.0083;-1.977906;106.224;147.9508;0.112;1.679;yes
A_tigrinum_ind1_pince_seq4_criquet_cropped;A_t_ind1;A_tigrinum;terrestrial; 2.203966;0.102;82.22024;0.166;50.62238; 39713.66;-51.49483;2655.052;0.5252888; 0.352;1.722;14.7357;488.3502;-2.491869; 156.9134; 0.8345838;0.33;1.544; 12.85602;454.5954;-4.598387;282.6474;141.5181;0.1;1.782;yes
A_tigrinum_ind1_pince_seq5_criquet_cropped;A_t_ind1;A_tigrinum;terrestrial;1.928017;0.115;75.4556; 0.276;44.37306; 2662.745;-18.51502;456.5609;0.7846951;0.428;0.801; 10.60759;493.0753;-1.238103;78.56752; 0.7378048;0.397;1.338;8.957333; 502.1108; -1.848188;108.2845;144.2048;0.101; 1.421;yes
A_tigrinum_ind1_pince_seq7_criquet_cropped;A_t_ind1;A_tigrinum;terrestrial;2.035463;0.115;68.43472; 0.346;40.40281; 17113.86; -21.97008; 616.1795; 0.4667045;0.169;1.678; 13.74276;674.1372;-5.05063;207.1955;0.61119;0.17; 1.265;14.65019;461.5026;-7.663541; 379.2589;155.1941;0.128;1.753;yes
